;+
;> DESCRIPTION = 'Filter transmission curve for PACS-70 micron band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     5.3438000E+01    0.0000000E+00
     5.3773065E+01    0.0000000E+00
     5.4110230E+01    0.0000000E+00
     5.4449510E+01    0.0000000E+00
     5.4790917E+01    0.0000000E+00
     5.5134464E+01    9.5635927E-04
     5.5480166E+01    3.4151194E-03
     5.5828035E+01    5.8892963E-03
     5.6178086E+01    8.3789867E-03
     5.6530331E+01    1.3340945E-02
     5.6884785E+01    2.2865620E-02
     5.7241461E+01    3.2450016E-02
     5.7600374E+01    4.2094508E-02
     5.7961537E+01    5.1799472E-02
     5.8324965E+01    6.6585009E-02
     5.8690672E+01    8.1569146E-02
     5.9058672E+01    1.0064682E-01
     5.9428979E+01    1.2061768E-01
     5.9801608E+01    1.4071376E-01
     6.0176573E+01    1.7599124E-01
     6.0553890E+01    2.1249984E-01
     6.0933572E+01    2.4604412E-01
     6.1315635E+01    2.8115251E-01
     6.1700093E+01    3.1576996E-01
     6.2086963E+01    3.3753754E-01
     6.2476258E+01    3.5369344E-01
     6.2867993E+01    3.5870926E-01
     6.3262185E+01    3.5995246E-01
     6.3658849E+01    3.5935787E-01
     6.4058000E+01    3.8618081E-01
     6.4459654E+01    4.0316271E-01
     6.4863826E+01    4.1351282E-01
     6.5270532E+01    4.1942474E-01
     6.5679789E+01    4.2309285E-01
     6.6091611E+01    4.1671488E-01
     6.6506016E+01    4.0699537E-01
     6.6923019E+01    3.9994769E-01
     6.7342637E+01    3.9572656E-01
     6.7764885E+01    3.9147898E-01
     6.8189782E+01    3.8720476E-01
     6.8617342E+01    3.8290374E-01
     6.9047584E+01    3.8045292E-01
     6.9480523E+01    3.8183788E-01
     6.9916176E+01    3.8323153E-01
     7.0354562E+01    3.8463391E-01
     7.0795696E+01    3.8267642E-01
     7.1239596E+01    3.7951923E-01
     7.1686279E+01    3.7634225E-01
     7.2135763E+01    3.7792055E-01
     7.2588066E+01    3.8298634E-01
     7.3043204E+01    3.8808389E-01
     7.3501197E+01    3.8177574E-01
     7.3962061E+01    3.7292558E-01
     7.4425814E+01    3.6401993E-01
     7.4892476E+01    3.4718922E-01
     7.5362063E+01    3.2808065E-01
     7.5834595E+01    3.0996441E-01
     7.6310090E+01    2.5951570E-01
     7.6788566E+01    2.3423135E-01
     7.7270042E+01    2.7043836E-01
     7.7754537E+01    3.1114519E-01
     7.8242070E+01    3.2075153E-01
     7.8732660E+01    3.1132919E-01
     7.9226326E+01    3.0159347E-01
     7.9723088E+01    2.9165825E-01
     8.0222964E+01    2.8035857E-01
     8.0725974E+01    2.6051700E-01
     8.1232139E+01    2.4003240E-01
     8.1741477E+01    2.1802900E-01
     8.2254009E+01    1.9588762E-01
     8.2769754E+01    1.7346525E-01
     8.3288733E+01    1.5233956E-01
     8.3810967E+01    1.3428540E-01
     8.4336475E+01    1.1906151E-01
     8.4865277E+01    1.0439604E-01
     8.5397396E+01    8.9638621E-02
     8.5932851E+01    7.6349898E-02
     8.6471663E+01    6.6946541E-02
     8.7013854E+01    5.7484224E-02
     8.7559444E+01    4.8276925E-02
     8.8108456E+01    4.1598810E-02
     8.8660909E+01    3.4878822E-02
     8.9216827E+01    2.8927104E-02
     8.9776231E+01    2.5050641E-02
     9.0339142E+01    2.1149872E-02
     9.0905582E+01    1.7224645E-02
     9.1475574E+01    1.5279369E-02
     9.2049140E+01    1.3443538E-02
     9.2626303E+01    1.1596196E-02
     9.3207084E+01    9.8454743E-03
     9.3791507E+01    8.7452806E-03
     9.4379594E+01    7.6381884E-03
     9.4971369E+01    6.5241546E-03
     9.5566854E+01    5.4031357E-03
     9.6166073E+01    4.6639848E-03
     9.6769050E+01    4.1378275E-03
     9.7375807E+01    3.6083712E-03
     9.7986368E+01    3.0755950E-03
     9.8600758E+01    2.5394783E-03
     9.9219000E+01    2.0000000E-03
