;+
;> DESCRIPTION = 'Filter transmission curve for R-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     6.1455000E-01    7.1584400E+01
     6.1500000E-01    7.1475100E+01
     6.1545000E-01    7.1367400E+01
     6.1590000E-01    7.1209000E+01
     6.1635000E-01    7.0990000E+01
     6.1680000E-01    7.0620600E+01
     6.1725000E-01    7.0279400E+01
     6.1770000E-01    7.0106500E+01
     6.1815000E-01    7.0119400E+01
     6.1860000E-01    7.0193200E+01
     6.1905000E-01    7.0079400E+01
     6.1950000E-01    6.9942200E+01
     6.1995000E-01    6.9924700E+01
     6.2040000E-01    6.9837300E+01
     6.2085000E-01    6.9635800E+01
     6.2130000E-01    6.9309700E+01
     6.2175000E-01    6.8857500E+01
     6.2220000E-01    6.8493000E+01
     6.2265000E-01    6.8239900E+01
     6.2310000E-01    6.8079000E+01
     6.2355000E-01    6.8069300E+01
     6.2400000E-01    6.8055600E+01
     6.2445000E-01    6.8040200E+01
     6.2489000E-01    6.8058000E+01
     6.2534000E-01    6.7917400E+01
     6.2579000E-01    6.7721800E+01
     6.2624000E-01    6.7537000E+01
     6.2669000E-01    6.7258900E+01
     6.2714000E-01    6.6920900E+01
     6.2759000E-01    6.6549900E+01
     6.2804000E-01    6.6194500E+01
     6.2849000E-01    6.6122800E+01
     6.2894000E-01    6.6135100E+01
     6.2939000E-01    6.5968100E+01
     6.2984000E-01    6.5805300E+01
     6.3029000E-01    6.5695600E+01
     6.3074000E-01    6.5546400E+01
     6.3119000E-01    6.5501000E+01
     6.3164000E-01    6.5343200E+01
     6.3209000E-01    6.5071600E+01
     6.3254000E-01    6.5034900E+01
     6.3298000E-01    6.4872700E+01
     6.3343000E-01    6.4674500E+01
     6.3388000E-01    6.4470400E+01
     6.3433000E-01    6.4170200E+01
     6.3478000E-01    6.4006000E+01
     6.3523000E-01    6.3970000E+01
     6.3568000E-01    6.3850300E+01
     6.3613000E-01    6.3952100E+01
     6.3658000E-01    6.3971500E+01
     6.3703000E-01    6.4013400E+01
     6.3747000E-01    6.4066500E+01
     6.3792000E-01    6.3922000E+01
     6.3837000E-01    6.3634900E+01
     6.3882000E-01    6.3133200E+01
     6.3927000E-01    6.2747900E+01
     6.3972000E-01    6.2450900E+01
     6.4017000E-01    6.2241100E+01
     6.4062000E-01    6.1924600E+01
     6.4107000E-01    6.1527200E+01
     6.4151000E-01    6.1173200E+01
     6.4196000E-01    6.1005600E+01
     6.4241000E-01    6.0699000E+01
     6.4286000E-01    6.0420100E+01
     6.4331000E-01    6.0108800E+01
     6.4376000E-01    5.9849600E+01
     6.4421000E-01    5.9689500E+01
     6.4465000E-01    5.9600900E+01
     6.4510000E-01    5.9472900E+01
     6.4555000E-01    5.9318100E+01
     6.4600000E-01    5.9210500E+01
     6.4645000E-01    5.8912200E+01
     6.4690000E-01    5.8719400E+01
     6.4735000E-01    5.8589600E+01
     6.4779000E-01    5.8318900E+01
     6.4824000E-01    5.8117400E+01
     6.4869000E-01    5.8003200E+01
     6.4914000E-01    5.7885300E+01
     6.4959000E-01    5.7803800E+01
     6.5003000E-01    5.7508900E+01
     6.5048000E-01    5.7230700E+01
     6.5093000E-01    5.6960200E+01
     6.5138000E-01    5.6737200E+01
     6.5183000E-01    5.6420000E+01
     6.5228000E-01    5.6012500E+01
     6.5272000E-01    5.5642500E+01
