;+
;> DESCRIPTION = 'Filter transmission curve for V-Band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     5.4491000E-01    6.9594500E+01
     5.4536000E-01    7.0605800E+01
     5.4582000E-01    7.3438900E+01
     5.4627000E-01    7.6194800E+01
     5.4673000E-01    7.7031500E+01
     5.4718000E-01    7.5900200E+01
     5.4763000E-01    7.4117000E+01
     5.4809000E-01    7.3293300E+01
     5.4854000E-01    7.4209200E+01
     5.4900000E-01    7.5818300E+01
     5.4945000E-01    7.7256800E+01
     5.4990000E-01    7.7050800E+01
     5.5036000E-01    7.6052500E+01
     5.5081000E-01    7.4798700E+01
     5.5126000E-01    7.4507100E+01
     5.5172000E-01    7.4935900E+01
     5.5217000E-01    7.6050000E+01
     5.5263000E-01    7.6993300E+01
     5.5308000E-01    7.7537100E+01
     5.5353000E-01    7.7329100E+01
     5.5399000E-01    7.6580500E+01
     5.5444000E-01    7.5693400E+01
     5.5489000E-01    7.5054400E+01
     5.5535000E-01    7.5284900E+01
     5.5580000E-01    7.5935000E+01
     5.5625000E-01    7.6691700E+01
     5.5671000E-01    7.6675600E+01
     5.5716000E-01    7.5846500E+01
     5.5762000E-01    7.4294500E+01
     5.5807000E-01    7.3319500E+01
     5.5852000E-01    7.3460300E+01
     5.5898000E-01    7.4790500E+01
     5.5943000E-01    7.6071500E+01
     5.5988000E-01    7.6267400E+01
     5.6034000E-01    7.5135600E+01
     5.6079000E-01    7.2897100E+01
     5.6124000E-01    7.1176800E+01
     5.6169000E-01    7.1141700E+01
     5.6215000E-01    7.3040300E+01
     5.6260000E-01    7.5342800E+01
     5.6305000E-01    7.6248300E+01
     5.6351000E-01    7.5077400E+01
     5.6396000E-01    7.2686100E+01
     5.6441000E-01    7.0920900E+01
     5.6487000E-01    7.1355000E+01
     5.6532000E-01    7.3657300E+01
     5.6577000E-01    7.6169100E+01
     5.6623000E-01    7.7273600E+01
     5.6668000E-01    7.6049200E+01
     5.6713000E-01    7.3622100E+01
     5.6758000E-01    7.1870300E+01
     5.6804000E-01    7.2544100E+01
     5.6849000E-01    7.5121900E+01
     5.6894000E-01    7.7594300E+01
     5.6940000E-01    7.8214100E+01
     5.6985000E-01    7.6726700E+01
     5.7030000E-01    7.4371200E+01
     5.7075000E-01    7.3174600E+01
     5.7121000E-01    7.3495000E+01
     5.7166000E-01    7.5008700E+01
     5.7211000E-01    7.6028600E+01
     5.7256000E-01    7.6069000E+01
     5.7302000E-01    7.5359000E+01
     5.7347000E-01    7.4523000E+01
     5.7392000E-01    7.4325300E+01
     5.7437000E-01    7.4443100E+01
     5.7483000E-01    7.4626500E+01
