;+
;> DESCRIPTION = 'Filter transmission curve for PACS-200 micron band'
;> WAVE_UNITS  = '[um]'
;> T_UNITS     = '[]'
;-

;~            WAVE                T
     1.1336800E+02    0.0000000E+00
     1.1428671E+02    0.0000000E+00
     1.1521286E+02    0.0000000E+00
     1.1614652E+02    0.0000000E+00
     1.1708774E+02    0.0000000E+00
     1.1803660E+02    0.0000000E+00
     1.1899314E+02    1.1152080E-03
     1.1995743E+02    2.8719814E-03
     1.2092954E+02    4.6429913E-03
     1.2190952E+02    6.4283530E-03
     1.2289745E+02    8.2281829E-03
     1.2389338E+02    1.0172864E-02
     1.2489739E+02    1.7595458E-02
     1.2590953E+02    2.5078202E-02
     1.2692987E+02    3.9724217E-02
     1.2795848E+02    7.3455941E-02
     1.2899542E+02    9.7740024E-02
     1.3004077E+02    2.1501328E-01
     1.3109459E+02    3.5789009E-01
     1.3215695E+02    4.5784364E-01
     1.3322792E+02    4.8739612E-01
     1.3430757E+02    5.4745558E-01
     1.3539597E+02    5.6396092E-01
     1.3649319E+02    5.6998057E-01
     1.3759930E+02    5.8705609E-01
     1.3871437E+02    5.9518344E-01
     1.3983848E+02    6.0429211E-01
     1.4097170E+02    6.1411347E-01
     1.4211410E+02    6.1941797E-01
     1.4326576E+02    6.2615686E-01
     1.4442675E+02    6.2692607E-01
     1.4559715E+02    6.2770151E-01
     1.4677704E+02    6.2848324E-01
     1.4796648E+02    6.2836018E-01
     1.4916557E+02    6.2648661E-01
     1.5037437E+02    6.2459785E-01
     1.5159297E+02    6.2269379E-01
     1.5282145E+02    6.2077430E-01
     1.5405988E+02    6.1883925E-01
     1.5530834E+02    6.1688853E-01
     1.5656693E+02    6.1492199E-01
     1.5783571E+02    6.1134810E-01
     1.5911477E+02    6.0635046E-01
     1.6040420E+02    6.0131231E-01
     1.6170408E+02    5.9263833E-01
     1.6301449E+02    5.8086510E-01
     1.6433553E+02    5.7133097E-01
     1.6566726E+02    5.6335442E-01
     1.6700979E+02    5.5531323E-01
     1.6836320E+02    5.4468487E-01
     1.6972758E+02    5.3295518E-01
     1.7110301E+02    5.2483511E-01
     1.7248959E+02    5.1738908E-01
     1.7388741E+02    5.0988272E-01
     1.7529655E+02    5.0327293E-01
     1.7671711E+02    4.9692924E-01
     1.7814919E+02    4.9086361E-01
     1.7959287E+02    4.8527805E-01
     1.8104825E+02    4.7964723E-01
     1.8251542E+02    4.7441138E-01
     1.8399448E+02    4.6931467E-01
     1.8548553E+02    4.6417667E-01
     1.8698866E+02    4.5799858E-01
     1.8850398E+02    4.5147456E-01
     1.9003157E+02    4.4436367E-01
     1.9157154E+02    4.3659223E-01
     1.9312399E+02    4.2861250E-01
     1.9468902E+02    4.1597599E-01
     1.9626674E+02    4.0091152E-01
     1.9785724E+02    3.8288709E-01
     1.9946063E+02    3.6208853E-01
     2.0107701E+02    3.3872245E-01
     2.0270649E+02    3.1180049E-01
     2.0434918E+02    2.8741686E-01
     2.0600518E+02    2.5916945E-01
     2.0767460E+02    2.2916362E-01
     2.0935754E+02    2.0167546E-01
     2.1105413E+02    1.7015498E-01
     2.1276446E+02    1.4810770E-01
     2.1448866E+02    1.2667681E-01
     2.1622682E+02    1.0623996E-01
     2.1797908E+02    9.0490916E-02
     2.1974553E+02    7.5069681E-02
     2.2152630E+02    6.0920023E-02
     2.2332149E+02    5.0997034E-02
     2.2513124E+02    4.0993633E-02
     2.2695565E+02    3.5182629E-02
     2.2879485E+02    2.9795411E-02
     2.3064895E+02    2.4506265E-02
     2.3251807E+02    2.0252451E-02
     2.3440235E+02    1.5964165E-02
     2.3630189E+02    1.1641128E-02
     2.3821682E+02    1.0000000E-02
     2.4014728E+02    1.0000000E-02
     2.4209338E+02    9.4622300E-03
     2.4405525E+02    6.9344556E-03
     2.4603301E+02    4.3861968E-03
     2.4802681E+02    1.9321169E-03
     2.5003676E+02    9.6995701E-04
     2.5206300E+02    6.8087896E-17
